q45_clé,"SH1 Individus, marchés et organisations","SH2 Institutions, gouvernance et systèmes juridiques",SH3 Le monde social et ses interactions,SH5 Textes et concepts,SH6 L'étude du passé humain,"SH7 Mobilité humaine, environnement et espace",SH8 Études des cultures et des arts,PE7 Ingénierie des systèmes et de la communication,PE8 Ingénierie des produits et des procédés,PE9 Sciences de l'Univers,PE10 Sciences du Système Terre,"LS4 Physiologie de la santé, de la maladie et du vieillissement","LS6 Immunité, infection et immunothérapie","LS7 Prévention, diagnostic et traitement des maladies humaines","LS8 Biologie environnementale, écologie et évolution",LS9 Biotechnologie et ingénierie des biosystèmes,SH4 L'esprit humain et sa complexité,LS5 Neurosciences et troubles du système nerveux,PE6 Sciences informatiques et informatique,PE1 Mathématiques,PE5 Chimie de synthèse et matériaux,"Droit, économie et sciences politiques",Sciences sociales,Humanités,Maths info,Ecologie et biosystèmes,"Biologie, maladie","Psychologie, neurosciences",Chimie de synthèse,Sciences sociales et humaines,Sciences physiques et ingénierie,Sciences de la vie,q11_quali_or_quanti,SHS,cluster,lab_cluster,new_clust,semi_cluster,semi_lab_cluster
PS8W-TJ9P,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,0.0,7.0,4.0,5.0,Des données qualitatives,True,9,,9.0,9,"Individus, marchés et organisations"
GNEG-5QXQ,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Des données qualitatives,True,-1,Outliers,-1.0,13,Le monde social et ses interactions
FCCB-GMYA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données qualitatives,True,2,Sciences cognitives,2.0,3,Psychologie (sociale)
CV3G-95CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données quantitatives,True,2,Sciences cognitives,2.0,3,Psychologie (sociale)
9EAP-NB4B,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Les deux,True,9,,9.0,9,"Individus, marchés et organisations"
M5L8-UM9F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Des données quantitatives,False,-1,Outliers,-1.0,3,Le monde social et ses interactions
HT8V-PSKZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Des données quantitatives,False,7,Sciences informatiques,7.0,7,Sciences informatiques
AVQG-73T4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Des données qualitatives,True,4,,-1.0,4,
R9R6-P7CN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Les deux,True,5,Le monde social et ses interactions,5.0,5,Le monde social et ses interactions
9K9T-RVNL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données quantitatives,True,3,Psychologie (sociale),3.0,2,Sciences cognitives
CN6B-UEHQ,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Les deux,True,8,,8.0,11,Langue et culture étrangère
639H-EH8R,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données qualitatives,True,0,Études des cultures et des arts,0.0,0,Études des cultures et des arts
5G5M-BM3L,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Les deux,True,8,,8.0,12,Langue et culture étrangère
9JNL-L3RA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données qualitatives,True,11,Langues et litteratures,-1.0,10,
BKF8-SNEZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données quantitatives,True,2,Sciences cognitives,2.0,3,Psychologie (sociale)
YTMC-B4DP,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Les deux,True,3,Psychologie (sociale),3.0,2,Sciences cognitives
QLPJ-DVVQ,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données qualitatives,True,12,,12.0,14,Humanités numériques
RXPG-46ZW,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Des données qualitatives,True,4,,-1.0,4,
Q5AZ-855W,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données qualitatives,True,4,,-1.0,4,
QV7Q-KLNA,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Les deux,True,9,,9.0,8,"Individus, marchés et organisations"
ZGPH-2FPH,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,Les deux,True,10,Ethnologie,10.0,13,Langues et litteratures
TZYG-EKYM,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Des données qualitatives,True,6,,6.0,6,L'étude du passé humain
LPNF-H5YQ,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Des données quantitatives,True,10,Ethnologie,10.0,13,Langues et litteratures
ASQY-ZGVK,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Des données qualitatives,True,9,,9.0,9,"Individus, marchés et organisations"
MXD6-JC3F,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données qualitatives,True,5,Le monde social et ses interactions,5.0,5,Le monde social et ses interactions
SKD4-XJMH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données quantitatives,True,4,,-1.0,4,
YL4Q-KQAK,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Les deux,True,9,,9.0,9,"Individus, marchés et organisations"
5FJS-YCLW,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Des données qualitatives,True,4,,-1.0,4,
GK5N-J3SV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données qualitatives,True,0,Études des cultures et des arts,0.0,0,Études des cultures et des arts
RVX8-7FSV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Les deux,True,8,,8.0,12,Langue et culture étrangère
EM6U-9PNF,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données qualitatives,True,11,Langues et litteratures,-1.0,10,
E3YL-PHZV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Les deux,True,5,Le monde social et ses interactions,5.0,5,Le monde social et ses interactions
A2YY-FL32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données qualitatives,True,0,Études des cultures et des arts,0.0,0,Études des cultures et des arts
TSZM-D83G,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,Des données qualitatives,True,-1,Outliers,-1.0,13,Le monde social et ses interactions
PSFJ-S7YE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données qualitatives,True,12,,12.0,14,Humanités numériques
S3JS-37LL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Des données quantitatives,True,5,Le monde social et ses interactions,5.0,5,Le monde social et ses interactions
35EN-C9DW,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données quantitatives,True,3,Psychologie (sociale),3.0,2,Sciences cognitives
XGV3-TLNC,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Des données qualitatives,True,10,Ethnologie,10.0,13,Langues et litteratures
ET2V-ZA9Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Les deux,True,3,Psychologie (sociale),3.0,2,Sciences cognitives
ANM4-SD9B,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Les deux,True,-1,Outliers,-1.0,13,Le monde social et ses interactions
A33H-5ZS7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données quantitatives,True,3,Psychologie (sociale),3.0,2,Sciences cognitives
4VJV-R74Q,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Des données qualitatives,True,10,Ethnologie,10.0,13,Langues et litteratures
