q45_clé,q44_ufr_labo
FCCB-GMYA,UFR Psychologie
CV3G-95CT,"SDL, SFL"
9EAP-NB4B,"Textes et sociétés, Histoire, IDHES"
M5L8-UM9F,"UFR de Psychologie, UR DysCo"
AVQG-73T4,UFR DROIT 
R9R6-P7CN,UFR Culture et communication / CEMTI
9K9T-RVNL,"UFR de psychologie, Laboratoire DysCo"
BKF8-SNEZ,"Psychologie, Laboratoire CHArt"
YTMC-B4DP,IED / Laboratoire Paragraphe
QV7Q-KLNA,UFR LLCE LEA 
ZGPH-2FPH,"Mitsic, Humanités numériques, Paragraphe"
TZYG-EKYM,IDHES (UMR 8533)
SKD4-XJMH,"UFR AES-EG, laboratoire LED"
5FJS-YCLW,"Textes et sociétés, Cresppa"
GK5N-J3SV,"UFR Arts, philosophie, esthétique, département Arts, AIAC/EPHA"
PSFJ-S7YE,SEPF
S3JS-37LL,Psychologie
35EN-C9DW,UFR Psychologie
XGV3-TLNC,IEE/cresppa
ANM4-SD9B,"UFR Arts, Département Photo, Aiac, epha"
4VJV-R74Q,"Arts, Arts plastiques, AIAC"
RAUZ-BRFQ,"AES-EG, LED"
PEG4-89LR,"UFR Psychologie, affiliation laboratoire : LAPPS"
VR4Q-ZFTH,ED-CLI
Y7ZW-AP6B,"UFR Psychologie, UR Paragraphe"
XW7R-FDND,"UFR Psychologie, laboratoire DysCo"
Q3YA-587D,"UFR Arts, Département Musique, Laboratoire Musidanse"
9X9M-JRJW,UFR de psychologie
H5X6-KL2Z,Laboratoire d'économie dionysien (LED)
4FYP-H9TX,UFR AES Economie Gestion / LED
7L5G-35JG,UFR ERITES ; Géographie ; Ladyss
D4JC-WN3B,UFR LLCE/LEA
NLVG-2YZ5,UFR Psychologie - CHART
Q5PB-ETLB,MITSIC / LIASD
SZY2-JZTU,UFR eriTES
SYWH-2Y8T,"UFR eritES, géographie, UMR LADYSS"
A3S4-MJGK,UFR eriTES
ZB5S-ABHN,UFR LE
SJWJ-3QKL,"UFR Textes et sociétés, Département Histoire, laboratoire ARSCAN (UMR 7041)"
Z37Y-6JGC,Textes et sociétés ; UMR IDHES
LS4U-JEBR,"UFR LLCE-LEA, DEPA, UR TRANSCRIT"
2DRU-P3AV,MITSIC
QNYZ-3MH2,IEE
DBQD-JQTW,UFR-CC / CÉMTI
3V5K-8FEA,UFR de Psychologie
GYQJ-9DVE,"IUT Tremblay-en-France, département MLT, LED"
7CU7-JG8K,"Culture et communication, Cemti"
BNVM-K8M9,MITSIC
QAMR-B8EH,"département d'histoire, laboratoire IDHE.S"
VTX9-R7JQ,"UFR Culture et Communication, CEMTI"
2Y89-7BR9,ufr 5
A7R6-3SWC,IED Psychologie/ CHArt
H8B2-2AYQ,UFR SDL
82N2-HDNU,AES-Eco. Gestion
X48K-M3K4,"ED PTS, CIRCEFT"
Q934-QKAW,UFR MITSIC
HKN6-95PQ,Paragraphe
5V62-N439,AES économie-gestion
MLSN-NBUS,UR DysCo
WAR9-LFJP,"UFR SEPF, département de sciences de l'education, LIAgE"
HRZG-6JGE,eristes
