,name,label,personal_data,type,no_question,question
0,N°Obs,qno_obs,False,int64,0.0,
1,1. so_principles,q1_so_principles,False,object,1.0,1/ Diriez-vous que vous êtes familier.ère des principes de la Science Ouverte ?
2,2. hal_depot,q2_hal_depot,False,object,2.0,"2/ Avez-vous déjà déposé une production scientifique (article, communication...) sur HAL ?"
3,3. octavi_depot,q3_octavi_depot,False,object,3.0,"3/ Avez-vous des productions déposées sur Octaviana, la bibliothèque numérique de l'université ?"
4,4. open_data,q4_diff_data,False,object,4.0,4/ Avez-vous déjà diffusé vos données de recherche une fois le projet terminé ?
5,"5. Autre, précisez : ",q4_autres_entrepots,False,object,4.0,4/ Avez-vous déjà diffusé vos données de recherche une fois le projet terminé ?
6,6. R,q5_r,False,object,5.0,"5/ Dans le cadre de vos travaux de recherche, quels langages de programmation/logiciels de traitement de données utilisez-vous ?"
7,7. Python,q5_python,False,object,5.0,"5/ Dans le cadre de vos travaux de recherche, quels langages de programmation/logiciels de traitement de données utilisez-vous ?"
8,8. Excel,q5_excel,False,object,5.0,"5/ Dans le cadre de vos travaux de recherche, quels langages de programmation/logiciels de traitement de données utilisez-vous ?"
9,9. Julia,q5_julia,False,object,5.0,"5/ Dans le cadre de vos travaux de recherche, quels langages de programmation/logiciels de traitement de données utilisez-vous ?"
10,10. Stata,q5_stata,False,object,5.0,"5/ Dans le cadre de vos travaux de recherche, quels langages de programmation/logiciels de traitement de données utilisez-vous ?"
11,11. SAS,q5_sas,False,object,5.0,"5/ Dans le cadre de vos travaux de recherche, quels langages de programmation/logiciels de traitement de données utilisez-vous ?"
12,12. Aucun,q5_aucun,False,object,5.0,"5/ Dans le cadre de vos travaux de recherche, quels langages de programmation/logiciels de traitement de données utilisez-vous ?"
13,13. Autre,q5_autre,False,object,5.0,"5/ Dans le cadre de vos travaux de recherche, quels langages de programmation/logiciels de traitement de données utilisez-vous ?"
14,14. other_lang,q5_1_other_lang,False,object,6.0,"5.1/ Si Autre, précisez lequel (lesquels) ?"
15,15. dev_code,q6_dev_code,False,object,7.0,"6/ Dans le cadre de vos activités de recherche, êtes-vous amené.e à développer ou faire développer des logiciels/du code spécialisé(s) ?"
16,16. dev_exemple,q6_1_dev_exemple,False,object,8.0,"6.1/ Si oui, pourriez-vous expliquer ce que vous avez développé ?"
17,17. software_depot,q7_software_depot,False,object,9.0,7/ Avez-vous déjà déposé des logiciels ou codes sources dans un entrepôt dédié ?
18,"18. Oui, autre, précisez : ",q7_1_other_sw_depot,False,object,9.0,7/ Avez-vous déjà déposé des logiciels ou codes sources dans un entrepôt dédié ?
19,19. Faire un dépôt sur HAL,q8_depot_hal_help,False,object,10.0,"8/ En termes d'accompagnement à la Science Ouverte, ressentez-vous le besoin d'être formé.e pour :"
20,20. Rédiger un Plan de Gestion de données (PGD ou DMP),q8_rediger_pdg_help,False,object,10.0,"8/ En termes d'accompagnement à la Science Ouverte, ressentez-vous le besoin d'être formé.e pour :"
21,21. Respecter les principes RGPD dans le cadre d'enquêtes ou d'entretiens,q8_respect_rgpd_help,False,object,10.0,"8/ En termes d'accompagnement à la Science Ouverte, ressentez-vous le besoin d'être formé.e pour :"
22,22. Connaître les différents types de licence pour la diffusion des résultats de recherche,q8_licences_help,False,object,10.0,"8/ En termes d'accompagnement à la Science Ouverte, ressentez-vous le besoin d'être formé.e pour :"
